Transaction_ID,Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Order_Date,Order_Time,Sales_Channel,Store_ID,Store_Name,Country,Region,City,Product_ID,Product_Name,Product_Category,Product_Subcategory,Quantity,Unit_Price,Discount_Percentage,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Shipping_Method,Delivery_Days,Return_Flag,Return_Reason,Sales_Representative,Promotion_Code,Customer_Rating,Inventory_Level,Total Order Value,Inventory Status,Amount after discount,Order_Year,charged Amount %
T02016694,O0116694,C01482,Sophia Smith,28,Male,Consumer,06-10-2022 00:00,0.479803241,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P026,Webcam HD,Electronics,Cameras,2,85.29,5,162.05,115.61,46.44,Credit Card,Completed,Standard,4,No,Not Returned,James Anderson,SAVE10,4,81,170.58,IN Stock,153.9475,2022,95
T02016374,O0108187,C01591,Hannah King,46,Female,Consumer,03-06-2024 00:00,0.712835648,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P005,Office Keyboard,Electronics,Accessories,6,58.85,15,300.13,237,63.13,Debit Card,Completed,Standard,6,No,Not Returned,Ella Lewis,Not Avl,5,123,353.1,IN Stock,255.1105,2024,85
T02004099,O0104099,C04140,Emma Wilson,42,Male,Consumer,19-12-2024 00:00,0.348738426,Online,PAR-01,Paris Central,France,Île-de-France,Paris,P017,Copy Paper Box,Office Supplies,Paper,2,43.92,15,74.66,73.17,1.49,Credit Card,Shipped,Standard,4,No,Not Returned,Liam Davis,Not Avl,4,93,87.84,IN Stock,63.461,2024,85
T02010280,O0110280,C03663,Daniel Clark,18,Male,Corporate,05-10-2025 00:00,0.606053241,B2B Portal,NYC-01,New York Central,United States,Northeast,New York,P008,SmartDock USB-C,Electronics,Accessories,11,115.34,15,1078.46,897.91,180.55,paypal,Completed,Next Day,2,No,Not Returned,Grace Harris,HOLIDAY20,0,59,1268.74,IN Stock,916.691,2025,85
T02012685,O0112685,C02749,Sophia Smith,37,Male,Returning Customer,13-09-2022 00:00,0.621712963,B2B Portal,CHI-01,Chicago Loop,United States,Midwest,Chicago,P013,Desk Lamp,Furniture,Lighting,4,69.71,15,237.03,164.95,72.08,Apple Pay,Completed,Express,2,No,Not Returned,Sophia Brown,Not Avl,2,56,278.84,IN Stock,201.4755,2022,85
T02003704,O0101852,C00959,Mia Miller,42,Other,Corporate,27-03-2023 00:00,0.444502315,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P012,Ergo Footrest,Furniture,Office Furniture,1,79.96,5,75.96,50.09,25.87,Debit Card,Completed,Pickup,0,No,Not Returned,Noah Wilson,SAVE10,1,35,79.96,IN Stock,72.162,2023,95
T02016542,O0116542,C02232,Evelyn Adams,46,Female,New Customer,25-07-2022 00:00,0.606041667,Online,VAN-01,Vancouver West,Canada,British Columbia,Vancouver,P017,Copy Paper Box,Office Supplies,Paper,3,41.63,5,118.64,102.11,16.53,Cash,Completed,Pickup,0,No,Not Returned,Ella Lewis,Not Avl,2,67,124.89,IN Stock,112.708,2022,95
T02013460,O0113460,C00719,Olivia Walker,44,Female,Consumer,20-02-2024 00:00,0.165243056,Online,AUS-01,Austin Business,United States,South,Austin,P027,Security Camera,Electronics,Cameras,1,159.81,0,159.81,118.34,41.47,Credit Card,Returned,Express,2,Yes,Damaged,Ella Lewis,Not Avl,5,59,159.81,IN Stock,159.81,2024,100
T02001029,O0101029,C01511,Emily Moore,54,Female,Consumer,25-12-2024 00:00,0.485069444,Online,LON-01,London City,United Kingdom,England,London,P003,EdgeTab 11 Tablet,Electronics,Tablets,2,503.31,5,956.28,805.86,150.42,Cash,Completed,Standard,7,No,Not Returned,Ella Lewis,Not Avl,0,57,1006.62,IN Stock,908.466,2024,95
T02001635,O0101635,C04415,Freya Williams,49,Female,Consumer,18-01-2022 00:00,0.359270833,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P006,Precision Mouse,Electronics,Accessories,5,39.72,15,168.81,124.22,44.59,Credit Card,Returned,Standard,7,Yes,Changed Mind,Olivia Martin,Not Avl,5,0,198.6,Out of Stock,143.4885,2022,85
T02017821,O0117821,C04919,Hannah King,42,Male,Consumer,31-12-2022 00:00,0.891875,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P013,Desk Lamp,Furniture,Lighting,1,66.4,20,53.12,41.11,12.01,Credit Card,Completed,Next Day,1,No,Not Returned,David Walker,BLACKFRIDAY25,4,48,66.4,IN Stock,42.496,2022,80
T02005146,O0105146,C01532,Lily Allen,22,Female,Consumer,08-02-2023 00:00,0.513958333,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P005,Office Keyboard,Electronics,Accessories,1,59.69,0,59.69,38.59,21.09,Credit Card,Completed,Standard,6,No,Not Returned,Mia Taylor,SAVE10,1,48,59.69,IN Stock,59.69,2023,100
T02004937,O0104937,C00848,Samuel Nelson,48,Male,Consumer,05-12-2022 00:00,0.922337963,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P002,ProBook 16 Laptop,Electronics,Laptops,1,1313.59,15,1116.55,1009.86,106.69,Credit Card,Completed,Express,2,No,Not Returned,Ella Lewis,Not Avl,5,109,1313.59,IN Stock,949.0675,2022,85
T02004775,O0104775,C03391,Oscar Adams,34,Female,Consumer,03-09-2024 00:00,0.706898148,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P024,Desk Fan,Appliances,Climate,1,69.06,5,65.6,46.74,18.87,Credit Card,Completed,Express,1,No,Not Returned,James Anderson,Not Avl,5,68,69.06,IN Stock,62.32,2024,95
T02003373,O0103373,C01145,Ella Allen,32,Female,Returning Customer,24-02-2022 00:00,0.890891204,Online,COL-01,Cologne Business,Germany,North Rhine-Westphalia,Cologne,P009,Office Chair Pro,Furniture,Office Furniture,1,442.27,5,420.15,331.09,89.06,Credit Card,Shipped,Standard,3,No,Not Returned,Amelia Jackson,Not Avl,2,91,442.27,IN Stock,399.1425,2022,95
T02017546,O0117546,C00294,Alexander Smith,39,Male,Corporate,03-05-2025 00:00,0.466076389,Online,NYC-01,New York Central,United States,Northeast,New York,P004,Vision 27 Monitor,Electronics,Monitors,2,329.23,5,625.55,497.42,128.13,Credit Card,Completed,Standard,3,No,Not Returned,Liam Davis,Not Avl,5,84,658.46,IN Stock,594.2725,2025,95
T02007214,O0107214,C01930,Amelia Johnson,50,Male,Consumer,20-10-2023 00:00,0.744201389,Retail Store,CHI-01,Chicago Loop,United States,Midwest,Chicago,P028,Backup Drive 2TB,Electronics,Storage,2,142.05,0,284.09,209.73,74.36,Credit Card,Shipped,Pickup,0,No,Not Returned,Henry White,Not Avl,5,65,284.1,IN Stock,284.09,2023,100
T02010877,O0105438,C03537,Nora King,37,Male,Small Business,20-12-2024 00:00,0.696793981,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P009,Office Chair Pro,Furniture,Office Furniture,2,426.42,10,767.55,611.42,156.13,Credit Card,Shipped,Pickup,0,No,Not Returned,Grace Harris,MOM15,5,48,852.84,IN Stock,690.795,2024,90
T02010845,O0110845,C03484,Grace Davis,42,Male,Consumer,25-11-2025 00:00,0.776226852,Online,AUS-01,Austin Business,United States,South,Austin,P008,SmartDock USB-C,Electronics,Accessories,2,120,15,204.01,165.1,38.9,Credit Card,Completed,Standard,6,No,Not Returned,Noah Wilson,Not Avl,5,81,240,IN Stock,173.4085,2025,85
T02000770,O0100770,C00408,Theo Adams,27,Male,Consumer,16-12-2023 00:00,0.627175926,Retail Store,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P028,Backup Drive 2TB,Electronics,Storage,3,141.9,15,361.84,307.11,54.73,Credit Card,Processing,Pickup,0,No,Not Returned,Amelia Jackson,Not Avl,5,85,425.7,IN Stock,307.564,2023,85
T02015674,O0115674,C02569,Hannah Thomas,47,Female,Corporate,20-01-2023 00:00,0.477708333,Retail Store,LON-01,London City,United Kingdom,England,London,P003,EdgeTab 11 Tablet,Electronics,Tablets,1,521.16,0,521.16,418.03,103.13,Debit Card,Completed,Standard,2,No,Not Returned,David Walker,HALLOWEEN15,3,71,521.16,IN Stock,521.16,2023,100
T02002094,O0102094,C03617,Lily Moore,39,Male,Premium,30-09-2022 00:00,0.561099537,Retail Store,LON-01,London City,United Kingdom,England,London,P003,EdgeTab 11 Tablet,Electronics,Tablets,3,487.93,0,1463.8,1199.92,263.88,Credit Card,Shipped,Pickup,0,No,Not Returned,Henry White,Not Avl,3,75,1463.79,IN Stock,1463.8,2022,100
